0	0	1
0	408	4
1	0	2
1	1442	1
1	515	1
1	1161	3
1	588	1
1	1486	1
1	623	1
1	1027	2
1	1334	2
1	408	3
2	0	1
2	969	1
2	1038	1
3	0	2
3	515	2
3	809	2
3	1486	1
4	0	1
4	1060	2
4	587	1
4	1486	2
4	623	1
4	1334	2
4	408	1
4	378	1
5	0	2
6	0	1
6	1410	1
6	451	3
6	809	2
6	811	1
7	0	2
7	1027	5
7	1161	2
8	0	5
8	515	2
8	1191	3
9	0	3
9	65	1
9	67	1
9	811	1
9	1260	4
9	984	1
10	0	9
10	65	1
10	1410	4
10	451	2
10	1381	12
10	233	9
10	1517	1
10	515	1
10	1334	8
11	0	1
11	1411	2
11	709	1
11	936	1
12	0	1
12	1410	1
13	0	1
13	515	4
13	773	1
13	587	1
14	0	2
14	321	1
14	1154	1
15	0	1
15	594	4
15	1059	1
15	6	1
15	1167	1
16	0	1
16	960	2
16	709	1
16	809	1
16	733	2
16	720	1
16	690	1
16	1459	1
16	1334	1
16	408	3
17	0	2
17	129	1
17	1410	1
17	451	2
17	709	1
17	1260	1
17	910	1
18	0	4
18	771	2
18	910	1
18	408	6
18	660	1
18	1303	1
18	1048	1
18	285	1
18	290	2
18	1060	10
18	809	9
18	1453	1
18	1327	1
19	0	1
19	1486	4
19	1496	1
19	181	1
20	0	1
20	994	1
20	67	2
20	1381	1
20	1260	1
20	593	1
20	690	1
21	0	5
21	354	1
21	136	1
21	590	2
21	1352	1
21	594	8
21	692	1
22	0	1
22	320	1
23	0	1
23	809	2
23	1260	1
24	0	2
25	0	1
25	1334	13
25	709	1
25	1191	3
25	1512	1
26	0	3
26	515	3
26	6	1
26	294	1
27	0	2
28	0	2
28	161	2
29	0	1
29	640	1
29	139	1
29	145	1
29	276	1
29	1442	2
29	1060	2
29	1194	16
29	1454	1
29	431	15
29	1334	2
29	1336	6
29	203	10
29	590	28
29	594	3
29	1491	1
29	855	4
29	984	1
29	1188	1
29	354	3
29	744	1
29	497	1
30	0	1
31	0	4
31	1410	1
31	451	5
31	809	17
31	810	2
31	587	1
31	1260	1
31	811	2
31	1315	1
31	690	2
32	0	2
32	233	2
32	1229	2
32	623	1
33	0	5
33	1381	2
33	233	2
33	1486	2
33	984	1
33	1334	1
34	0	1
34	1355	1
34	1486	1
34	623	1
34	145	1
34	1459	1
34	408	1
35	0	1
35	809	1
35	810	3
35	711	1
36	0	1
37	0	1
37	709	1
38	0	2
39	0	1
39	984	1
40	0	1
40	587	1
40	1260	2
40	686	1
40	623	1
40	145	2
40	1486	1
40	1334	1
40	378	1
40	27	1
40	61	1
41	0	9
41	1107	1
41	323	1
41	1060	1
41	485	4
41	1191	1
41	1512	3
41	298	4
41	587	1
41	780	1
41	1154	1
41	910	5
42	0	2
42	515	3
42	1060	1
43	0	1
43	704	2
44	0	1
44	65	1
44	451	3
44	1334	5
45	0	1
46	0	1
46	354	2
46	292	1
46	1421	3
46	1442	2
47	0	14
47	515	11
47	932	1
47	1191	1
47	809	6
47	811	1
47	587	3
47	588	5
47	910	1
47	623	17
47	690	2
47	468	1
47	1260	1
48	0	1
48	145	1
48	590	1
49	0	1
49	515	1
49	295	2
49	1260	3
49	587	3
49	780	1
49	579	1
49	451	7
49	1334	5
49	792	1
49	570	1
50	0	3
51	0	2
51	321	7
51	451	3
52	0	2
52	704	1
52	515	2
52	780	1
52	587	2
52	588	1
52	383	3
53	0	1
54	0	1
54	161	2
54	733	2
54	960	1
54	6	1
54	360	1
54	809	2
54	1135	3
54	588	1
54	1486	2
54	623	1
55	0	1
55	587	2
55	645	2
56	0	1
57	0	1
58	0	1
58	674	1
58	451	1
58	1381	2
58	1415	1
58	233	1
59	0	1
59	809	1
59	1257	1
60	0	1
60	408	7
60	780	1
60	709	1
61	0	1
61	1056	1
61	451	1
61	233	1
61	1260	1
61	515	1
61	1334	2
61	809	1
62	0	6
62	515	6
62	6	1
63	0	1
63	1315	1
64	0	1
64	258	1
64	292	3
64	295	1
65	0	1
65	590	2
66	0	1
67	0	1
67	232	2
67	360	1
67	594	1
67	1048	2
67	892	1
67	383	3
68	0	1
68	515	1
68	1191	1
68	1512	1
68	810	1
68	1260	4
69	0	1
70	0	1
70	1378	1
70	1027	1
70	709	2
70	1191	2
70	1512	1
70	1273	2
71	0	2
71	515	5
71	1161	3
71	910	4
71	531	1
71	408	3
71	1135	7
71	1315	2
71	1060	1
71	1191	3
71	428	1
71	690	15
71	1334	12
71	451	1
71	709	3
71	845	1
71	1501	1
71	485	4
71	1127	3
71	1512	4
71	1260	12
72	0	3
73	0	5
74	0	1
75	0	1
75	408	1
75	4	1
75	984	1
75	232	1
75	1324	1
75	780	1
75	240	1
75	264	1
76	0	1
76	321	1
76	809	1
76	1260	2
76	594	1
76	1147	1
76	733	1
77	0	1
77	587	3
78	0	8
78	320	1
78	67	1
78	1381	2
78	233	2
78	810	2
78	1260	5
78	515	2
78	451	2
78	1334	4
78	408	3
79	0	1
80	0	7
80	960	1
80	1154	1
80	515	9
81	0	1
81	515	1
81	233	1
82	0	2
82	1260	1
83	0	1
83	323	3
83	709	1
83	1191	7
83	1315	2
83	137	1
83	234	2
83	1260	3
83	910	4
83	623	2
83	515	1
83	1512	1
83	579	2
83	451	4
83	404	1
83	1390	16
84	0	1
84	1334	1
84	468	10
84	1270	1
85	0	1
85	451	2
85	1381	2
85	233	5
85	778	1
85	1517	2
85	408	4
86	0	1
86	1154	1
86	264	1
86	233	2
86	587	1
86	145	1
87	0	1
87	451	1
88	0	1
88	292	1
89	0	2
90	0	2
90	1154	1
90	515	2
90	1040	1
90	145	2
90	408	1
90	1135	3
90	1060	1
90	690	1
90	1459	1
90	1334	1
90	570	1
90	709	1
90	587	8
90	588	8
90	1486	4
90	1108	1
90	984	1
90	733	1
90	623	3
90	892	1
90	383	1
91	0	3
91	515	3
91	709	1
91	587	8
91	1486	12
91	623	6
91	145	1
91	1334	8
91	408	5
91	378	2
91	27	2
91	668	1
92	0	3
92	1060	1
92	1421	2
93	0	2
93	323	4
93	709	1
93	809	4
93	588	2
94	0	1
94	232	1
95	0	1
95	1185	1
95	453	1
96	0	2
96	292	18
96	984	1
96	144	1
96	529	4
96	692	4
96	408	1
96	570	2
96	383	3
97	0	4
97	1410	1
98	0	2
98	67	2
99	0	1
99	910	1
100	0	1
100	690	1
100	1390	1
101	0	1
101	451	3
101	197	1
101	780	2
101	1260	1
101	588	1
101	910	1
101	623	3
101	51	3
101	1013	1
102	0	1
103	0	1
104	0	1
105	0	3
105	515	2
105	1414	1
105	264	1
105	779	1
105	408	6
105	922	1
105	292	1
105	1319	1
105	809	1
106	0	1
106	129	1
106	709	1
106	513	2
106	1260	1
106	74	1
106	588	1
106	623	1
107	0	1
107	1344	1
107	994	2
107	451	1
107	278	1
107	406	2
107	1226	3
107	1294	1
107	1519	1
107	593	1
107	725	1
107	470	1
107	62	3
108	0	1
109	0	4
109	579	1
110	0	2
110	1060	1
110	1130	1
110	1486	1
111	0	1
112	0	6
112	1410	1
112	451	2
112	420	1
112	1381	9
112	233	3
112	1517	1
113	0	2
113	587	1
113	208	2
113	1048	3
113	594	9
113	408	4
113	1114	1
114	0	1
114	515	1
114	1297	1
114	809	1
114	778	3
114	811	1
114	1135	1
114	1176	1
114	690	1
114	149	1
114	1334	2
114	810	1
115	0	1
115	1440	2
115	1334	1
115	809	1
115	1130	3
115	1486	2
116	0	2
116	408	2
116	984	9
117	0	3
117	1206	1
117	233	1
118	0	1
118	420	2
118	1421	1
118	1517	2
118	408	1
118	292	8
119	0	2
119	1161	4
119	1060	1
119	910	1
120	0	1
121	0	1
121	704	2
121	451	2
121	137	2
121	234	1
122	0	1
123	0	1
123	1027	1
123	1334	2
123	809	4
123	587	1
123	1517	2
123	1486	4
123	724	2
124	0	1
125	0	1
126	0	1
126	408	1
126	383	1
127	0	2
127	321	1
127	354	2
127	547	2
127	553	2
